Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
657,3:57.18,Gawain GUY,28 JAN 1962,JAM,4,"Eugene, OR (USA)",06 JUN 1987,1109,237.18
657,3:57.18,Michael RUTT,28 OCT 1987,USA,2,"Philadelphia, PA (USA)",27 APR 2013,1109,237.18
657,3:57.18,Mohad ABDIKADAR SHEIK ALI,12 JUN 1993,ITA,5f2,"Arena Civica, Milano (ITA)",04 SEP 2021,1109,237.18
661,3:57.19,Bartosz NOWICKI,26 FEB 1984,POL,6,"Crystal Palace, London (GBR)",06 AUG 2011,1109,237.19
661,3:57.19,Yassin BOUIH,24 NOV 1996,ITA,6f2,"Arena Civica, Milano (ITA)",04 SEP 2021,1109,237.19
663,3:57.20,Derek IBBOTSON,17 JUN 1932,GBR,1,London (GBR),19 JUL 1957,1109,237.2
663,3:57.20,Jean WADOUX,29 JAN 1942,FRA,2,St-Maur (FRA),02 JUN 1965,1109,237.2
663,3:57.20,Harald NORPOTH,22 AUG 1942,FRG,4,Berlin (GER),07 SEP 1971,1109,237.2
666,3:57.20,Amar BRAHMIA,02 SEP 1954,ALG,4,Rieti (ITA),09 SEP 1981,1109,237.2
664,3:57.20,Michael OPENSHAW,08 APR 1972,GBR,2,Hexham (GBR),29 MAY 1998,1109,237.2
667,3:57.20,Bobby CURTIS,28 NOV 1984,USA,1,"Swarthmore, PA (USA)",14 MAY 2007,1109,237.2
669,3:57.21,Paul CRAIG,02 SEP 1953,CAN,6,Berlin (GER),08 AUG 1980,1109,237.21
669,3:57.21,Whaddon NIEWOUDT,06 JAN 1970,RSA,1,Port Elizabeth (RSA),15 APR 1994,1109,237.21
669,3:57.21,Scott MCGOWAN,27 JAN 1981,USA,8,"Eugene, OR (USA)",04 JUN 2005,1109,237.21
669,3:57.21,Diego RUIZ,05 FEB 1982,ESP,9,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1109,237.21
669,3:57.21,Aaron AHL,25 FEB 1999,CAN,5f2,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1109,237.21
674,3:57.22,Rob DRUPPERS,29 APR 1962,NED,2,Formia (ITA),16 JUN 1985,1109,237.22
675,3:57.23,Jan PERSSON,01 JUL 1961,SWE,7,Oslo (NOR),07 JUL 1982,1109,237.23
675,3:57.23,Jesse GARN,04 JUN 1993,USA,9f1,"Concord, MA (USA)",01 JUN 2017,1109,237.23
677,3:57.24,Frezer LEGESSE,04 JUN 1990,USA,2,St. Louis (USA),02 JUN 2016,1109,237.24
678,3:57.25,Mike STAHR,09 DEC 1964,USA,10,London (GBR),11 JUL 1986,1108,237.25
678,3:57.25,Olivier COLLIN,01 JUN 1989,CAN,1,"Berkeley, CA (USA)",24 APR 2010,1108,237.25
678,3:57.25,Mats HAUGE,16 JUL 1997,NOR,2f1,"Arna idrettspark, Bergen (NOR)",12 AUG 2020,1108,237.25
678,3:57.25,Daniel MICHALSKI,10 SEP 1995,USA,10,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1108,237.25
682,3:57.26,Jason JABAUT,13 MAR 1982,USA,1,"Nashville, TN (USA)",02 JUN 2007,1108,237.26
683,3:57.27,Ahmed KRAMA,14 FEB 1973,ALG,7,"New York, NY (USA)",21 JUL 1998,1108,237.27
683,3:57.27,Mitchell KEALEY,28 JAN 1984,AUS,9,"Crystal Palace, London (GBR)",25 JUL 2008,1108,237.27
685,3:57.28,Stijn JASPERS,03 JUN 1961,NED,12,Koblenz (GER),25 AUG 1982,1108,237.28
686,3:57.29,Jordan GUSMAN,30 JAN 1994,AUS,1f1,Sydney (AUS),23 DEC 2017,1108,237.29
687,3:57.30,Ian STEWART,15 JAN 1949,GBR,2,Reading (GBR),11 JUN 1969,1108,237.3
687,3:57.30,Ewald BONZET,25 DEC 1951,RSA,1,Stellenbosch (RSA),21 FEB 1977,1108,237.3
689,3:57.30,Tom CARTER,20 AUG 1982,GBR,2,London (GBR),06 AUG 2005,1108,237.3
690,3:57.31,Allan KLASSEN,17 MAR 1968,CAN,4,"Eugene, OR (USA)",05 JUN 1993,1108,237.31
690,3:57.31,David WITTMAN,04 JUL 1969,USA,11,"Eugene, OR (USA)",04 JUN 1995,1108,237.31
692,3:57.33,Hezekiel SEPENG,30 JUN 1974,RSA,2,Stellenbosch (RSA),16 FEB 1995,1107,237.32999999999998
692,3:57.33,Said AHMED,10 DEC 1982,USA,2,Burnaby (CAN),01 JUL 2004,1107,237.32999999999998
694,3:57.34,Byron DYCE,27 MAR 1948,JAM,5,Stockholm (SWE),01 JUL 1974,1107,237.34
694,3:57.34,Ed SPINNEY,22 JUL 1953,USA,4,"Eugene, OR (USA)",28 MAY 1981,1107,237.34
694,3:57.34,Brandon BETHKE,19 JAN 1987,USA,2,Dublin (IRL),08 JUL 2011,1107,237.34
694,3:57.34,Juan Luis BARRIOS,24 JUN 1983,MEX,3,Dublin (IRL),17 JUL 2013,1107,237.34
698,3:57.37,Chris FISHER,02 OCT 1949,AUS,1,"Eugene, OR (USA)",18 MAY 1975,1107,237.37
698,3:57.37,Johannes JOB,21 MAY 1972,RSA,2,Port Elizabeth (RSA),14 FEB 1997,1107,237.37
698,3:57.37,Tyler MULDER,15 FEB 1987,USA,3,"Philadelphia, PA (USA)",27 APR 2013,1107,237.37
701,3:57.38,Jacob BOUTERA,29 APR 1996,NOR,3f1,"Arna idrettspark, Bergen (NOR)",12 AUG 2020,1107,237.38
702,3:57.39,Mehdi AIDET,03 NOV 1953,ALG,2,Barcelona (ESP),10 JUN 1982,1107,237.39
702,3:57.39,Gianni BRUZZI,15 APR 1967,ITA,7,San Donato Milanese (ITA),30 MAY 1992,1107,237.39
702,3:57.39,Jack BOLAS,01 NOV 1987,USA,5,"Ann Arbor, MI (USA)",10 AUG 2014,1107,237.39
705,3:57.40,Brian KIVLAN,27 MAR 1948,USA,2,"Philadelphia, PA (USA)",01 JUN 1968,1107,237.4
705,3:57.40,Edgar SALVÉ,26 AUG 1946,BEL,2,Berlin (GER),24 SEP 1969,1107,237.4
705,3:57.40,Brian BAKER,08 JUN 1970,USA,2,"Attleboro, MA (USA)",21 MAY 1999,1107,237.4
708,3:57.40,Daniel ZEGEYE,13 MAR 1979,ETH,8,"Portland, OR (USA)",03 JUN 2001,1107,237.4
708,3:57.40,Daniel HERRERA,-,MEX,1f2,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1107,237.4
710,3:57.42,Colin RIDDING,01 NOV 1961,GBR,5,Cork (IRL),05 JUL 1988,1106,237.42000000000002
710,3:57.42,Corey BELLEMORE,01 DEC 1994,CAN,5,Cork (IRL),16 JUL 2018,1106,237.42000000000002
712,3:57.43,Steven HALLIDAY,14 MAR 1968,GBR,7,Gateshead (GBR),28 AUG 1989,1106,237.43
712,3:57.43,Carleton Buck JONES,20 DEC 1965,USA,3,"Eugene, OR (USA)",04 JUN 1994,1106,237.43
714,3:57.44,Vincent LETTING,16 JUN 1993,KEN,8,Dublin (IRL),11 JUL 2014,1106,237.44
715,3:57.46,Barry SMITH,16 APR 1953,GBR,9,London (GBR),08 AUG 1980,1106,237.46
715,3:57.46,Mike BLACKMORE,19 DEC 1961,USA,2,"Eugene, OR (USA)",07 MAY 1988,1106,237.46
715,3:57.46,Joshua MCDOUGAL,01 JUN 1985,USA,1,"Lynchburg, VA (USA)",31 MAR 2007,1106,237.46
715,3:57.46,Gareth HYETT,13 FEB 1980,NZL,3,Brasschaat (BEL),21 JUL 2007,1106,237.46
719,3:57.47,Shannon LEMORA,24 MAR 1970,USA,4,"Eugene, OR (USA)",04 JUN 1994,1106,237.47
720,3:57.48,Michael WOODS,12 OCT 1986,CAN,2,Windsor (CAN),28 JUL 2005,1106,237.48
721,3:57.49,Nick ROSE,30 DEC 1951,GBR,10,London (GBR),08 AUG 1980,1105,237.49
721,3:57.49,Marius VAN HEERDEN,08 SEP 1974,RSA,3,Stellenbosch (RSA),16 FEB 1996,1105,237.49
723,3:57.50,Ron DELANY,06 MAR 1935,IRL,3,Dublin (IRL),06 AUG 1958,1105,237.5
723,3:57.50,Murray HALBERG,07 JUL 1933,NZL,4,Dublin (IRL),06 AUG 1958,1105,237.5
723,3:57.50,Mike WIGGS,25 APR 1938,GBR,2,Dublin (IRL),05 JUL 1965,1105,237.5
723,3:57.50,Graeme FELL,19 MAR 1959,GBR,1,Vancouver (CAN),01 JUN 1983,1105,237.5
723,3:57.50,Harrison MAKAU,1974,KEN,1,Aberdeen (GBR),27 AUG 2000,1105,237.5
728,3:57.51,Helder DE JESUS,12 APR 1954,POR,7,Berlin (GER),08 AUG 1980,1105,237.51
729,3:57.52,Christoph HERLE,19 NOV 1955,FRG,4,Frankfurt (GER),05 SEP 1978,1105,237.52
730,3:57.53,Peter BOURKE,23 APR 1958,AUS,11,London (GBR),11 JUL 1986,1105,237.53
731,3:57.54,Joao BUSSOTTI NEVES,10 MAY 1993,ITA,5f1,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1105,237.54
731,3:57.54,Caleb WEBB,1997,USA,3,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1105,237.54
733,3:57.55,Phillip LAGAT,16 FEB 1983,KEN,3,"Des Moines, IA (USA)",24 APR 2010,1105,237.55
734,3:57.56,David NIKOLLI,20 JUN 1994,ALB,4f12,"Arena Civica, Milano (ITA)",11 JUN 2022,1105,237.56
735,3:57.57,Matthew LANE,05 SEP 1977,USA,10,"Hayward Field, Eugene, OR (USA)",26 MAY 2002,1104,237.57
735,3:57.57,Ricky STEVENSON,14 NOV 1988,GBR,8,Dublin (IRL),25 JUL 2012,1104,237.57
735,3:57.57,Shane BRACKEN,14 JUN 1998,IRL,9,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1104,237.57
735,3:57.57,Kasey KNEVELBAARD,-,USA,4,"Henderson HS, West Chester, PA (USA)",11 AUG 2022,1104,237.57
739,3:57.58,Ahmed Ibrahim WARSAMA,04 FEB 1966,QAT,3,Rieti (ITA),05 SEP 1993,1104,237.57999999999998
739,3:57.58,Mike BRANNIGAN,12 NOV 1996,USA,7,"Raleigh, NC (USA)",05 AUG 2016,1104,237.57999999999998
741,3:57.59,Adrian WEATHERHEAD,22 SEP 1943,GBR,7,London (GBR),29 AUG 1975,1104,237.59
741,3:57.59,William VAN DIJCK,24 JAN 1961,BEL,3,Hechtel (BEL),14 AUG 1985,1104,237.59
741,3:57.59,Patrick TIERNAN,11 SEP 1994,AUS,6,Cork (IRL),18 JUL 2017,1104,237.59
744,3:57.60,Archie SAN ROMANI,15 JAN 1941,USA,3,Compton (GBR),06 JUL 1971,1104,237.6
744,3:57.60,Jacques BOXBERGER,16 APR 1949,FRA,5,Berlin (GER),07 SEP 1971,1104,237.6
744,3:57.60,Henryk WASILEWSKI,19 DEC 1953,POL,7,Berlin (GER),26 AUG 1977,1104,237.6
744,3:57.60,Ian GILLESPIE,18 MAY 1970,GBR,1,Exeter (GBR),16 JUN 1998,1104,237.6
748,3:57.60,Richard DOUMA,17 APR 1993,NED,10,"Olympic Stadium, London (GBR)",22 JUL 2016,1104,237.6
749,3:57.61,Gareth TURNBULL,14 MAY 1979,IRL,1,"Philadelphia, PA (USA)",27 APR 2002,1104,237.61
749,3:57.61,Bryce RICHARDS,12 OCT 1996,USA,3,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1104,237.61
751,3:57.62,Jacques VAN RENSBURG,24 JAN 1968,RSA,2,Port Elizabeth (RSA),14 DEC 1990,1104,237.62
751,3:57.62,Patrick JOSEPH,07 SEP 1995,USA,5,"Raleigh, NC (USA)",02 AUG 2019,1104,237.62
753,3:57.63,Jón DIDRIKSSON,17 JUN 1955,ISL,13,Koblenz (GER),25 AUG 1982,1104,237.63
753,3:57.63,Silas KISORIO,08 JAN 1983,KEN,9,Dublin (IRL),25 JUL 2012,1104,237.63
755,3:57.66,Geoff TURNBULL,15 APR 1961,GBR,2,Birmingham (GBR),18 JUL 1986,1103,237.66
755,3:57.66,Hicham AKANKAM,04 APR 1998,MAR,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2017,1103,237.66
757,3:57.67,Lars ERICSSON,11 NOV 1957,SWE,6,Stockholm (SWE),03 JUL 1978,1103,237.67000000000002
757,3:57.67,Dylan JACOBS,15 JUN 2000,USA,2f1,"Loftus Sports Center, South Bend, IN (USA)",22 JAN 2022,1103,237.67000000000002
759,3:57.68,John WHETTON,06 SEP 1941,GBR,3,London (GBR),03 JUL 1965,1103,237.68
759,3:57.68,Daniel LINCOLN,22 OCT 1980,USA,11,"Crystal Palace, London (GBR)",30 JUL 2004,1103,237.68
761,3:57.69,Klaas LOK,12 JAN 1955,NED,1,Leiden (NED),22 MAY 1981,1103,237.69
761,3:57.69,Peter O'DONOGHUE,01 OCT 1961,AUS,5,Burnaby (CAN),16 JUL 1984,1103,237.69
761,3:57.69,Atoi BORU,25 OCT 1973,KEN,1,Cwmbran (GBR),12 JUL 1992,1103,237.69
761,3:57.69,David TIMLIN,10 JUN 1994,USA,3,"Concord, MA (USA)",07 JUN 2018,1103,237.69
761,3:57.69,Willy FINK,07 MAR 1994,USA,2,Mt. Pleasant (USA),14 JUL 2018,1103,237.69
766,3:57.70,Dave BAILEY,17 MAR 1945,CAN,1,Toronto (CAN),22 JUL 1967,1103,237.7
766,3:57.70,De Villiers LAMPRECHT,22 DEC 1942,RSA,1,Stellenbosch (RSA),13 NOV 1970,1103,237.7
766,3:57.70,Jim CRAWFORD,17 JUL 1947,USA,2,"Eugene, OR (USA)",26 JUN 1971,1103,237.7
766,3:57.70,Gunnar EKMAN,18 JUN 1943,SWE,4,Stockholm (SWE),05 JUL 1972,1103,237.7
766,3:57.70,Ray SMEDLEY,03 SEP 1951,GBR,3,"Philadelphia, PA (USA)",27 APR 1974,1103,237.7
766,3:57.70,Dietmar MILLONIG,01 JUN 1955,AUT,4,Wien (AUT),13 JUN 1979,1103,237.7
766,3:57.70,Ron CORNELL,16 JUN 1959,USA,4,"Westwood, CA (USA)",11 MAY 1980,1103,237.7
766,3:57.70,Doug CONSIGLIO,10 JAN 1964,CAN,3,"Eugene, OR (USA)",02 JUL 1988,1103,237.7
774,3:57.70,Phil CLODE,11 MAR 1965,NZL,3,Auckland (NZL),12 JAN 1991,1103,237.7
774,3:57.70,James KAAN,17 SEP 1990,AUS,7,"Crystal Palace, London (GBR)",06 AUG 2011,1103,237.7
774,3:57.70,Michael HAMMOND,07 NOV 1989,USA,1,"Greenville, SC (USA)",12 APR 2014,1103,237.7
777,3:57.71,Mattia PADOVANI,26 AUG 1995,ITA,5f12,"Arena Civica, Milano (ITA)",11 JUN 2022,1103,237.71
778,3:57.72,Tai DINGER,-,USA,8,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1103,237.72
778,3:57.72,Joey BERRIATUA,16 JUN 1995,USA,6f2,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 JUL 2022,1103,237.72
780,3:57.73,Ioan ZĂIZAN,21 JUL 1983,ROU,5,Dublin (IRL),17 JUL 2013,1103,237.73
781,3:57.74,Andrew GREEN,26 NOV 1942,GBR,4,London (GBR),03 JUL 1965,1102,237.74
781,3:57.74,Michael LEDERER,26 JUN 1955,FRG,5,Frankfurt (GER),05 SEP 1978,1102,237.74
783,3:57.75,Liam BOYLAN-PETT,11 SEP 1985,USA,6,Dublin (IRL),17 JUL 2013,1102,237.75
783,3:57.75,Benjamin FLANAGAN,11 JAN 1995,CAN,6,"Bay Shore, NY (USA)",05 SEP 2018,1102,237.75
785,3:57.76,Dillon MAGGARD,16 OCT 1995,USA,4,"Bay Shore, NY (USA)",04 SEP 2019,1102,237.76
785,3:57.76,Azeddine HABZ,19 JUL 1993,FRA,6,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1102,237.76
785,3:57.76,Ben MACMILLAN,23 OCT 2001,GBR,1f29,"University of Stirling Track, Stirling (GBR)",21 MAY 2022,1102,237.76
788,3:57.77,Steve AGAR,06 JUN 1968,DMA,11,"Eugene, OR (USA)",25 MAY 1997,1102,237.77
789,3:57.78,Björn NILSSON,11 JAN 1956,SWE,3,London (GBR),09 SEP 1977,1102,237.78
790,3:57.79,Stephen AUSTIN,14 FEB 1951,AUS,5,Melbourne (AUS),14 JAN 1982,1102,237.79
791,3:57.80,Reggie MCAFEE,19 FEB 1951,USA,2,"Durham, NC (USA)",12 MAY 1973,1102,237.8
791,3:57.80,Tommy FULTON,31 OCT 1951,USA,1,"Arkadelphia, AR (USA)",25 MAY 1973,1102,237.8
791,3:57.80,Hailu EBBA,12 DEC 1950,ETH,4,"Baton Rouge, LA (USA)",09 JUN 1973,1102,237.8
791,3:57.80,Dick BUERKLE,03 SEP 1947,USA,3,Oslo (NOR),31 JUL 1974,1102,237.8
791,3:57.80,Danie GOOSEN,21 DEC 1950,RSA,2,Stellenbosch (RSA),21 FEB 1977,1102,237.8
791,3:57.80,Evert HOVING,14 JAN 1953,NED,3,Gateshead (GBR),30 JUL 1977,1102,237.8
791,3:57.80,Malcolm EDWARDS,07 JAN 1958,GBR,1,Jersey (GBR),19 SEP 1987,1102,237.8
798,3:57.80,Chris SOLINSKY,05 DEC 1984,USA,2,"Madison, WI (USA)",06 MAY 2006,1102,237.8
798,3:57.80,Sam PENZENSTADLER,11 SEP 1992,USA,1f1,"Concord, MA (USA)",02 JUN 2016,1102,237.8
800,3:57.81,Paul LAWTHER,22 DEC 1955,GBR,9,Cork (IRL),13 JUL 1983,1102,237.81
801,3:57.82,Alexis SHARANGABO,09 NOV 1978,RWA,1,"Falmouth, MA (USA)",20 AUG 2000,1101,237.82
801,3:57.82,Mumin GALA,06 APR 1986,DJI,2,Stretford (GBR),11 AUG 2007,1101,237.82
803,3:57.83,Ben TRUE,29 DEC 1985,USA,6,Cork (IRL),16 JUL 2018,1101,237.82999999999998
804,3:57.84,Ken MARTIN,10 SEP 1958,USA,5,"Eugene, OR (USA)",28 MAY 1981,1101,237.84
804,3:57.84,Samuel KIBIRI,04 DEC 1966,KEN,1,"Palo Alto, CA (USA)",30 MAR 1991,1101,237.84
804,3:57.84,Seth SUMMERSIDE,14 FEB 1984,USA,4,Brasschaat (BEL),21 JUL 2007,1101,237.84
804,3:57.84,Andrew RAFLA,15 APR 1996,USA,3f2,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1101,237.84
808,3:57.85,David MCCARTHY,03 AUG 1988,IRL,6,Cork (IRL),02 JUL 2013,1101,237.85
809,3:57.86,Mike KEARNS,27 FEB 1954,GBR,5,London (GBR),26 JUN 1977,1101,237.86
809,3:57.86,James THIE,27 JUN 1978,GBR,12,"Crystal Palace, London (GBR)",30 JUL 2004,1101,237.86
809,3:57.86,Kevin KELLY,11 AUG 1995,IRL,4,"Icahn Stadium, New York, NY (USA)",09 JUL 2021,1101,237.86
809,3:57.86,Riccardo TAMASSIA,18 JUN 1993,ITA,6f12,"Arena Civica, Milano (ITA)",11 JUN 2022,1101,237.86
813,3:57.87,Derek SCOTT,07 NOV 1985,USA,2,St. Louis (USA),23 MAY 2009,1101,237.87
813,3:57.87,Kieran TUNTIVATE,16 FEB 1997,THA,1,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1101,237.87
813,3:57.87,Ryan SCHOPPE,-,USA,1h2,"Lied Recreation Center, Ames, IA (USA)",25 FEB 2022,1101,237.87
816,3:57.88,Azat RAKIPOV,25 NOV 1968,BLR,10,St. Petersburg (RUS),26 JUL 1994,1101,237.88
817,3:57.89,Gary MARTIN,-,USA,4,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1101,237.89
817,3:57.89,Henry MCLUCKIE,03 MAY 2002,GBR,4,"Munster Technological University Track, Cork (IRL)",05 JUL 2022,1101,237.89
819,3:57.90,John LANDY,04 APR 1930,AUS,1,Turku (FIN),21 JUN 1954,1100,237.9
819,3:57.90,Morgan GROTH,31 AUG 1943,USA,4,Compton (GBR),05 JUN 1964,1100,237.9
819,3:57.90,John MASON,29 DEC 1945,USA,3,"Lawrence, KS (USA)",17 APR 1971,1100,237.9
819,3:57.90,Karl THORNTON,13 MAR 1950,USA,4,"Philadelphia, PA (USA)",27 APR 1974,1100,237.9
819,3:57.90,Jerald JONES,20 JUN 1953,USA,7,Oslo (NOR),27 JUN 1978,1100,237.9
819,3:57.90,Raf WIJNS,07 JAN 1964,BEL,5,San José (USA),25 MAY 1985,1100,237.9
825,3:57.90,Féthi BACCOUCHE,16 NOV 1960,TUN,4,Verona (ITA),11 JUN 1987,1100,237.9
825,3:57.90,Justus SOGET,22 OCT 1999,KEN,12,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1100,237.9
825,3:57.90,Pietro RIVA,01 MAY 1997,ITA,6f1,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1100,237.9
828,3:57.91,Elliott HEATH,04 FEB 1989,USA,5,"Falmouth, MA (USA)",10 AUG 2013,1100,237.91
828,3:57.91,Alex GEORGE,06 FEB 1996,GBR,8f2,"Arena Civica, Milano (ITA)",04 SEP 2021,1100,237.91
828,3:57.91,Adam BRADTMUELLER,-,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",05 JUN 2022,1100,237.91
831,3:57.92,Claudio PATRIGNANI,09 JAN 1959,ITA,5,Rieti (ITA),09 SEP 1981,1100,237.92000000000002
831,3:57.92,Deriba DEGEFA,09 JUN 1987,ETH,9,Ostrava (CZE),17 JUN 2009,1100,237.92000000000002
831,3:57.92,Fernando Daniel MARTÍNEZ,30 MAY 1993,MEX,3,"Santa Barbara, CA (USA)",13 APR 2018,1100,237.92000000000002
831,3:57.92,Taresa TOLOSA,15 JUN 1998,ETH,2,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1100,237.92000000000002
835,3:57.93,Dave REID,26 MAR 1963,CAN,8,Edinburgh (GBR),23 JUL 1985,1100,237.93
835,3:57.93,Luca VANDI,21 JUN 1962,ITA,9,Gateshead (GBR),28 AUG 1989,1100,237.93
837,3:57.94,Julian MATTHEWS,21 JUL 1988,NZL,5,Dublin (IRL),24 JUL 2015,1100,237.94
838,3:57.96,Rolf KĹREVIK,06 FEB 1952,SWE,8,Stockholm (SWE),04 JUL 1977,1100,237.96
838,3:57.96,Andrew KEITH,25 DEC 1971,GBR,2,Cork (IRL),24 JUN 1995,1100,237.96
838,3:57.96,Ian CROWE-WRIGHT,17 MAR 1995,GBR,1,"Birmingham University Athletics Track, Birmingham (GBR)",09 JUL 2022,1100,237.96
841,3:57.97,Alberto SÁNCHEZ,19 OCT 1988,ESP,8,Dublin (IRL),17 JUL 2013,1100,237.97
841,3:57.97,Abdi WAISS,03 JUL 1996,DJI,9f2,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1100,237.97
841,3:57.97,Craig NOWAK,20 APR 1994,USA,4f2,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1100,237.97
844,3:57.98,Bob VERBEECK,05 AUG 1960,BEL,3,Luxembourg (LUX),20 JUL 1983,1099,237.98
845,3:58.00,Paul GEIS,23 FEB 1953,USA,4,"Eugene, OR (USA)",20 JUN 1973,1099,238.0
845,3:58.00,Peter WATSON,30 MAY 1947,AUS,2,Victoria (CAN),07 JUL 1973,1099,238.0
847,3:58.00,Mike WYATT,10 JAN 1956,USA,5,"Philadelphia, PA (USA)",18 MAY 1980,1099,238.0
847,3:58.00,Rick MUSGRAVE,13 MAY 1954,USA,7,"Eugene, OR (USA)",05 JUN 1982,1099,238.0
847,3:58.00,Younéss ESSALHI,20 FEB 1993,MAR,4,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1099,238.0
850,3:58.01,Stan TAYLOR,18 APR 1937,GBR,3,London (GBR),18 AUG 1962,1099,238.01
850,3:58.01,Dave CAMPBELL,31 AUG 1960,CAN,3,Birmingham (GBR),18 JUL 1986,1099,238.01
852,3:58.02,Abderrazak BOUNOUR,11 JAN 1957,ALG,4,Formia (ITA),16 JUN 1985,1099,238.02
852,3:58.02,Marco MAYR,19 JUL 1960,SUI,3,Koblenz (GER),28 AUG 1985,1099,238.02
852,3:58.02,Julian OAKLEY,23 JUN 1993,NZL,5,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1099,238.02
855,3:58.03,Marc NEVENS,06 NOV 1954,BEL,4,Edinburgh (GBR),06 AUG 1976,1099,238.03
855,3:58.03,Ronnie HARRIS,16 MAY 1965,USA,5,"Eugene, OR (USA)",05 JUN 1993,1099,238.03
855,3:58.03,Mike POWER,09 MAY 1976,AUS,12,"Eugene, OR (USA)",04 JUN 1995,1099,238.03
855,3:58.03,Shane STREICH,19 SEP 1996,USA,1,"Wisconsin Lutheran HS, Milwaukee, WI (USA)",01 JUL 2021,1099,238.03
859,3:58.04,Izaic YORKS,17 APR 1994,USA,5f2,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1099,238.04
859,3:58.04,Cruz GOMEZ,-,USA,2h2,"Lied Recreation Center, Ames, IA (USA)",25 FEB 2022,1099,238.04
861,3:58.05,David MCMEEKIN,10 FEB 1953,GBR,6,London (GBR),30 AUG 1976,1099,238.05
861,3:58.05,Markus RYFFEL,05 FEB 1955,SUI,6,Koblenz (GER),29 AUG 1984,1099,238.05
861,3:58.05,Mason FERLIC,05 AUG 1993,USA,1,"National Training Center, Clermont, FL (USA)",19 JAN 2021,1099,238.05
864,3:58.06,Ken MOLONEY,11 NOV 1961,NZL,3,Cork (IRL),07 JUL 1987,1098,238.06
864,3:58.06,Brenton ROWE,17 AUG 1987,AUT,6,"Walnut, CA (USA)",20 APR 2012,1098,238.06
866,3:58.07,Bob SEAMAN,19 JUN 1935,USA,4,London (GBR),18 AUG 1962,1098,238.07
866,3:58.07,Craig HUFFER,27 OCT 1989,AUS,7,"Ann Arbor, MI (USA)",10 AUG 2014,1098,238.07
866,3:58.07,Grzegorz KALINOWSKI,22 SEP 1990,POL,6,Dublin (IRL),24 JUL 2015,1098,238.07
866,3:58.07,Jeff THIES,25 FEB 1995,USA,6,"Bay Shore, NY (USA)",04 SEP 2019,1098,238.07
870,3:58.08,Marc OLESEN,13 OCT 1964,CAN,4,Burnaby (CAN),16 JUN 1983,1098,238.07999999999998
870,3:58.08,Travis MAHONEY,25 JUL 1990,USA,3,Mt. Pleasant (USA),14 JUL 2018,1098,238.07999999999998
870,3:58.08,Baldvin MAGNUSSON,07 APR 1999,ISL,1,"Loftus Sports Center, South Bend, IN (USA)",05 FEB 2022,1098,238.07999999999998
873,3:58.09,Ken NASON,29 MAR 1972,IRL,3,Cork (IRL),24 JUN 1995,1098,238.09
873,3:58.09,Jake EDWARDS,27 APR 1988,USA,2,"Greenville, SC (USA)",12 APR 2014,1098,238.09
873,3:58.09,Ben VEATCH,01 JUN 1998,USA,1h1,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",25 FEB 2022,1098,238.09
876,3:58.10,John GARRISON,18 MAR 1944,USA,2,"Modesto, CA (USA)",29 MAY 1965,1098,238.1
876,3:58.10,Frank MURPHY,21 MAY 1947,IRL,4,"Los Angeles, CA (USA)",07 JUN 1969,1098,238.1
876,3:58.10,Louis LIEBENBERG,21 FEB 1958,RSA,3,Stellenbosch (RSA),07 MAY 1979,1098,238.1
876,3:58.10,Luis MEDINA,21 JUN 1952,CUB,3,Kingston (JAM),11 MAY 1979,1098,238.1
880,3:58.10,Rob LONERGAN,08 OCT 1959,CAN,5,Gateshead (GBR),05 AUG 1986,1098,238.1
880,3:58.10,Ali MAATAOUI,11 DEC 1980,MAR,5,Liège (BEL),27 AUG 2002,1098,238.1
